"科目区分","年度","学期","科目番号","科目名 ","主担当教員","成績","単位"
"A:専門科目","2014","春","GE70601","Webプログラミング","阪口 哲男","A","2.0"
"A:専門科目","2014","秋","GE71701","テキスト処理","佐藤 哲司","B","2.0"
"A:専門科目","2014","春","GE80501","情報サービス経営論","池内 淳","C","2.0"
"A:専門科目","2015","秋","GC54401","映像メディア論","辻 泰明","A+","2.0"
"A:専門科目","2015","春","GE40401","読書と豊かな人間性","鈴木 佳苗","A","2.0"
"A:専門科目","2015","春","GE40603","インターンシップ","白井 哲哉","A","2.0"
"A:専門科目","2015","秋","GE41001","知識情報学特別講義I","原田 隆史","B","1.0"
"A:専門科目","2015","春","GE50712","専門英語B-1","芳鐘 冬樹","A","1.0"
"A:専門科目","2015","秋","GE50812","専門英語C-1","上保 秀夫","C","1.0"
"A:専門科目","2015","秋","GE61501","データマイニング","長谷川 秀彦","A","2.0"
"A:専門科目","2015","春, 秋","GE70103","知識情報システム実習","知識情報システム主専攻担当教員","A+","2.0"
"A:専門科目","2015","春","GE70301","ディジタルドキュメント","高久 雅生","A","2.0"
"A:専門科目","2015","春","GE70501","情報検索システム","関 洋平","B","2.0"
"A:専門科目","2015","春","GE70801","データ表現と処理","鈴木 伸崇","A","2.0"
"A:専門科目","2015","秋","GE70901","データベース技術","森嶋 厚行","A","2.0"
"A:専門科目","2015","春","GE71001","情報デザインとインタフェース","時井 真紀","A","2.0"
"A:専門科目","2015","春","GE71101","ヒューマンインタフェース","田中 二郎","B","2.0"
"A:専門科目","2015","春","GE71401","知識資源の用語管理","辻 慶太","C","2.0"
"A:専門科目","2015","秋","GE71501","クラウドコンピューティング","若林 啓","A","2.0"
"A:専門科目","2015","春","GE71901","マークアップ言語","永森 光晴","A","2.0"
"A:専門科目","2015","秋","GE72001","ソフトウェア工学","手塚 太郎","A","2.0"
"A:専門科目","2015","秋","GE80201","図書館論","原 淳之","A+","2.0"
"A:専門科目","2015","秋","GE80901","コレクションとアクセス","吉田 右子","A","2.0"
"A:専門科目","2015","秋","GE81601","図書館情報法制度論","毛利 るみこ","B","2.0"
"小計","","","","","","","45.0"
"B:専門基礎科目","2013","秋","GA10101","情報社会と法制度","石井 夏生利","C","2.0"
"B:専門基礎科目","2013","春","GE10101","知識情報概論","宇陀 則彦","B","2.0"
"B:専門基礎科目","2013","秋","GE10201","哲学","横山 幹子","B","2.0"
"B:専門基礎科目","2013","春","GE10301","情報基礎","鈴木 伸崇","A","2.0"
"B:専門基礎科目","2013","春","GE10413","情報基礎実習-1","逸村 裕","A+","1.0"
"B:専門基礎科目","2013","春, 秋","GE10612","プログラミング演習I-1","松村 敦","A","2.0"
"B:専門基礎科目","2013","秋","GE10712","プログラミング演習II-1","真榮城 哲也","A+","2.0"
"B:専門基礎科目","2013","春","GE10801","情報数学","鎮目 浩輔","C","2.0"
"B:専門基礎科目","2013","秋","GE10911","統計-1","高久 雅生","B","2.0"
"B:専門基礎科目","2013","秋","GE20101","情報システム概説","佐藤 哲司","A+","2.0"
"B:専門基礎科目","2013","春, 秋","GE20201","基礎数学A","三森 弘","C","2.0"
"B:専門基礎科目","2013","春","GE22001","図書館概論","吉田 右子","B","2.0"
"B:専門基礎科目","2014","秋","GA10201","知的財産概論","松縄 正登","A","2.0"
"B:専門基礎科目","2014","春","GE11012","知識情報演習I-1","呑海 沙織","A","2.0"
"B:専門基礎科目","2014","春, 秋","GE11112","知識情報演習II-1","原 淳之","B","2.0"
"B:専門基礎科目","2014","秋","GE11212","知識情報演習III-1","緑川 信之","A+","2.0"
"B:専門基礎科目","2014","春, 秋","GE11542","専門英語A-4","坂本 暁彦","C","1.5"
"B:専門基礎科目","2014","秋","GE20401","量的調査法","歳森 敦","B","2.0"
"B:専門基礎科目","2014","秋","GE20501","多変量解析-1","田村 肇","C","2.0"
"B:専門基礎科目","2014","春","GE20601","情報探索論","岩澤 まり子","B","2.0"
"B:専門基礎科目","2014","秋","GE20701","質的調査法","照山 絢子","C","2.0"
"B:専門基礎科目","2014","春","GE20901","知識発見基礎論","中山 伸一","B","2.0"
"B:専門基礎科目","2014","春","GE21001","知識資源組織化論","緑川 信之","A","2.0"
"B:専門基礎科目","2014","春","GE21101","データベース概説","宇陀 則彦","A","2.0"
"B:専門基礎科目","2014","秋","GE21201","コンピュータシステムとネットワーク","阪口 哲男","A","2.0"
"B:専門基礎科目","2014","秋","GE21301","自然言語解析基礎","関 洋平","B","2.0"
"B:専門基礎科目","2014","春","GE21401","メディア社会学","後藤 嘉宏","A+","2.0"
"B:専門基礎科目","2014","春","GE21501","経営・組織論","大庭 一郎","B","2.0"
"B:専門基礎科目","2014","秋","GE21701","生涯学習と図書館","吉田 右子","B","2.0"
"B:専門基礎科目","2014","春, 秋","GE31023","知的探求の世界I-2","佐藤 哲司","A+","1.5"
"B:専門基礎科目","2015","春, 秋","GE32023","知的探求の世界II-2","佐藤 哲司","A+","1.0"
"小計","","","","","","","59.0"
"C:基礎科目","2013","秋","2111193","基礎体育剣道(秋)","鍋山 隆弘","A","0.5"
"C:基礎科目","2013","春","2133183","基礎体育ニュースポーツ(春)","宮崎 明世","A","0.5"
"C:基礎科目","2013","春","31AH062","英語基礎I","阿部 明子","C","0.5"
"C:基礎科目","2013","春","31BH062","異文化と英語I","金谷 優","D","0.5"
"C:基礎科目","2013","秋","31BM022","異文化と英語I","グロウ デボラ アン","A","0.5"
"C:基礎科目","2013","春","31CH062","総合英語I","スタウト, マイケル デンリー フランシス","C","0.5"
"C:基礎科目","2013","秋","31EH062","英語基礎II","阿部 明子","C","1.0"
"C:基礎科目","2013","秋","31FH062","異文化と英語II","金谷 優","C","1.0"
"C:基礎科目","2013","秋","31GH062","総合英語II","スタウト, マイケル デンリー フランシス","C","1.0"
"C:基礎科目","2013","春","34AH012","中国語基礎AI","井川 義次","D","0.5"
"C:基礎科目","2013","春","34BH012","中国語基礎BI","李 立冰","C","0.5"
"C:基礎科目","2013","秋","34CH012","中国語基礎AII","井川 義次","B","1.0"
"C:基礎科目","2013","秋","34EH012","中国語基礎BII","李 立冰","C","1.0"
"C:基礎科目","2013","春","5108011","国語I","那須 昭夫","B","1.0"
"C:基礎科目","2013","秋","5208021","国語II","那須 昭夫","B","1.0"
"C:基礎科目","2013","春","1A15071","これからの工学と社会-3","秋本 克洋","A","1.0"
"C:基礎科目","2013","春","1B17031","経営の科学I","渡邉 真一郎","B","1.0"
"C:基礎科目","2013","秋","FG16011","宇宙工学","亀田 敏弘","B","1.0"
"C:基礎科目","2013","春","1120202","フレッシュマン・セミナー","大澤 文人","P","1.0"
"C:基礎科目","2013","春, 秋","1320023","情報リテラシ実習","大澤 文人","A+","1.0"
"C:基礎科目","2013","春","1A18011","ネットワーク社会を支える情報技術入門I","片岸 一起","B","1.0"
"C:基礎科目","2013","秋","1A18031","ネットワーク社会を支える情報技術入門II","片岸 一起","A","1.0"
"C:基礎科目","2013","秋","1A18051","ネットワーク社会を支える情報技術入門III","片岸 一起","C","1.0"
"C:基礎科目","2013","秋","1B20041","知的財産のしくみ(特許編)","松縄 正登","B","1.0"
"C:基礎科目","2014","春","2222243","応用体育卓球(春)","木内 敦詞","B","0.5"
"C:基礎科目","2014","秋","2222253","応用体育卓球(秋)","木内 敦詞","A+","0.5"
"C:基礎科目","2014","秋","3141032","英語プレゼンテーション演習I","ボーダ, ユルーン","B","0.5"
"C:基礎科目","2014","春","3172062","科学英語演習II","鷲津 浩子","D","1.0"
"C:基礎科目","2014","春","34AB112","中国語基礎AI","池田 晋","B","0.5"
"C:基礎科目","2015","春","3143032","アカデミック・ライティングI","ネウパネ, プラミラ","A","0.5"
"C:基礎科目","2015","秋","3161042","テストテイキング演習I","藤田 亮子","C","0.5"
"C:基礎科目","2015","春","GC50301","プログラム言語論","志築 文太郎","C","2.0"
"小計","","","","","","","26.0"
"合計","","","","","","","130.0"
